,fitness,expression,depth,length
alpha_682,1.0199900698258515,"max(max(add(high, open), abs(close)), max(mul(close, open), inv(high)))",3,13
alpha_329,1.0195023383263893,"mul(sub(mul(open, high), abs(close)), add(mul(high, high), max(volume, open)))",3,14
alpha_231,1.0193701107566837,"mul(max(max(high, open), max(high, close)), add(div(low, low), mul(open, close)))",3,15
alpha_381,1.0193510105950903,"sub(mul(abs(low), add(open, open)), mul(add(high, high), mul(low, low)))",3,14
alpha_386,1.0192893237321006,"div(div(inv(low), max(close, open)), add(max(low, low), add(close, high)))",3,14
alpha_405,1.0191670490978058,"add(add(sub(high, low), log(volume)), mul(max(close, low), add(open, low)))",3,14
alpha_433,1.0189989717577337,"add(mul(mul(open, low), max(high, close)), mul(sqrt(high), mul(low, close)))",3,14
alpha_443,1.0189908677322517,"max(sub(mul(open, close), sub(high, low)), sub(log(close), div(volume, open)))",3,14
alpha_505,1.0189900709093571,"max(add(div(volume, close), max(close, close)), add(sqrt(low), mul(close, open)))",3,14
alpha_513,1.0189900701392438,"max(sub(mul(open, close), sqrt(close)), sub(div(close, volume), add(close, low)))",3,14
alpha_347,1.018384932445127,"sub(max(add(volume, close), add(volume, close)), max(mul(close, open), max(open, open)))",3,15
alpha_414,1.0180663616721344,"max(add(div(close, close), sub(high, close)), mul(add(low, open), add(low, close)))",3,15
alpha_538,1.0179900698258648,"sub(div(max(close, close), mul(close, low)), max(max(open, volume), mul(close, open)))",3,15
