,fitness,expression,depth,length
alpha_47,1.0283055662647327,"mul(abs(abs(close)), mul(mul(open, open), max(high, close)))",3,11
alpha_45,1.0283055662647327,"mul(mul(open, max(close, close)), mul(high, max(low, open)))",3,11
alpha_22,1.0282596332494798,"mul(max(inv(low), mul(close, low)), sub(max(low, close), mul(open, close)))",3,14
alpha_238,1.0281989154994944,"mul(sqrt(close), mul(open, low))",2,6
alpha_153,1.0281743467296869,"mul(mul(close, open), add(open, high))",2,7
alpha_242,1.0281703415994798,"mul(mul(low, low), neg(open))",2,6
alpha_244,1.0281703415994798,"mul(mul(low, open), abs(low))",2,6
alpha_246,1.0281703415994798,"mul(abs(low), mul(low, open))",2,6
alpha_247,1.0281703415994798,"abs(mul(low, mul(open, low)))",3,6
alpha_248,1.0281703415994798,"mul(mul(low, low), abs(open))",2,6
alpha_398,1.0281673652765542,"mul(add(open, low), close)",2,5
alpha_155,1.0281158672763062,"neg(div(inv(open), mul(low, close)))",3,7
alpha_158,1.028115867276305,"div(inv(close), neg(mul(low, open)))",3,7
alpha_417,1.0280648577256646,"mul(low, add(close, open))",2,5
alpha_421,1.0280648577256646,"mul(add(close, open), low)",2,5
alpha_163,1.0280480652867414,"mul(mul(open, low), max(close, open))",2,7
alpha_162,1.0280480652867414,"mul(mul(low, open), max(open, close))",2,7
alpha_54,1.0280415288426137,"mul(div(inv(high), mul(open, high)), inv(mul(low, close)))",3,11
alpha_104,1.0280391751015316,"mul(add(mul(open, close), sqrt(close)), abs(low))",3,9
alpha_447,1.0279906923580537,"sub(high, mul(close, open))",2,5
alpha_451,1.0279906923580537,"sub(mul(open, close), high)",2,5
alpha_446,1.0279906923580537,"sub(high, mul(open, close))",2,5
alpha_481,1.0279902197600468,"add(low, mul(open, close))",2,5
alpha_476,1.0279902197600468,"add(mul(open, close), low)",2,5
alpha_499,1.0279900856963835,"sub(mul(open, close), close)",2,5
alpha_494,1.0279900856963835,"sub(close, mul(close, open))",2,5
alpha_587,1.0279900698258515,"neg(neg(mul(open, close)))",3,5
alpha_571,1.0279900698258515,"abs(abs(mul(close, open)))",3,5
alpha_567,1.0279900698258515,"mul(neg(open), abs(close))",2,5
alpha_594,1.0279900698258515,"mul(add(close, close), open)",2,5
alpha_621,1.0279900698258515,"mul(abs(open), neg(close))",2,5
alpha_556,1.0279900698258515,"mul(max(open, low), close)",2,5
alpha_616,1.0279900698258515,"neg(abs(mul(close, open)))",3,5
alpha_633,1.0279900698258515,"mul(neg(close), abs(open))",2,5
alpha_671,1.0279900698258515,"mul(close, max(low, open))",2,5
alpha_719,1.0279900698258515,"max(mul(close, open), high)",2,5
alpha_735,1.0279900698258515,"neg(abs(mul(open, close)))",3,5
alpha_740,1.0279900698258515,"abs(neg(mul(close, open)))",3,5
alpha_743,1.0279900698258515,"abs(abs(mul(open, close)))",3,5
alpha_753,1.0279900698258515,"max(mul(close, open), volume)",2,5
alpha_651,1.0279900698258515,"max(mul(open, close), low)",2,5
alpha_795,1.0279900698258515,"abs(mul(neg(open), close))",3,5
alpha_635,1.0279900698258515,"mul(close, max(open, open))",2,5
alpha_645,1.0279900698258515,"mul(abs(close), abs(open))",2,5
alpha_721,1.0279900698258515,"max(mul(close, open), low)",2,5
alpha_659,1.0279900698258515,"max(close, mul(close, open))",2,5
