,fitness,expression,depth,length
alpha_407,0.14254777746399733,"mul(sub(sub(open, mul(sub(close, low), mul(volume, close))), log(high)), abs(sub(low, high)))",5,17
alpha_434,0.14254673431501108,"mul(sub(sub(open, volume), abs(mul(sub(close, low), mul(close, volume)))), abs(sub(low, high)))",5,17
alpha_435,0.14254673431501108,"mul(sub(sub(open, volume), abs(mul(mul(close, volume), sub(close, low)))), abs(sub(low, high)))",5,17
alpha_453,0.14250035786782994,"mul(sub(low, close), mul(log(sub(open, high)), mul(sub(low, high), mul(open, volume))))",4,16
alpha_402,0.14235342066966422,"mul(neg(sub(low, close)), sub(low, mul(div(neg(volume), log(high)), add(max(low, low), neg(close)))))",5,19
alpha_403,0.14233692021636696,"mul(mul(sub(open, volume), mul(sub(close, low), neg(volume))), mul(sub(high, low), add(high, low)))",4,18
alpha_524,0.14213896705540258,"mul(neg(sub(low, close)), sub(low, max(mul(volume, sub(close, low)), volume)))",5,14
alpha_559,0.14205477361921653,"abs(mul(sub(open, close), mul(mul(volume, low), sub(low, close))))",4,12
alpha_496,0.14204446436216955,"mul(mul(add(max(low, low), neg(close)), sub(low, close)), mul(volume, log(open)))",4,15
alpha_634,0.1420007213076101,"mul(abs(sub(low, close)), abs(mul(abs(volume), sub(close, low))))",4,12
alpha_589,0.1420007213076101,"mul(abs(sub(low, close)), max(mul(volume, sub(close, low)), volume))",4,12
alpha_586,0.1420007213076101,"mul(mul(sub(low, close), neg(volume)), add(abs(close), neg(low)))",3,12
alpha_625,0.1420007213076101,"neg(mul(sub(close, low), abs(mul(sub(low, close), abs(volume)))))",5,12
alpha_611,0.1420007213076101,"mul(mul(sub(low, close), neg(volume)), add(abs(low), neg(close)))",3,12
alpha_603,0.1420007213076101,"mul(abs(sub(low, close)), mul(max(volume, volume), sub(low, close)))",3,12
alpha_580,0.1420007213076101,"mul(sub(abs(close), low), abs(mul(sub(low, close), abs(volume))))",4,12
alpha_649,0.1420002974679805,"mul(mul(volume, sub(low, close)), sub(inv(volume), sub(low, close)))",3,12
alpha_651,0.14199991286839203,"mul(mul(volume, sub(close, low)), sub(sub(low, close), inv(open)))",3,12
alpha_502,0.14193752191713144,"mul(sub(mul(volume, sub(low, close)), high), mul(sub(high, low), add(high, low)))",4,15
